id,Number,sentiment,text
45,6402,0,"pycaffe error: 'module' object has no attribute 'Layer'. I have changed ""WITH_PYTHON_LAYER := 1"",make pycaffe, abd add python path to /etc/profile so that I can import caffe successfully. 
But when I add new python layer like this:

it occured the error as follows:

I am really confused of this, and I found no solution to solve it on the Internet. 
Could you please tell me how to deal with it? Thanks in advance!"
242,3486,0,"Problem with Caffe running on multi-GPUs (8 Titan X). Hi everyone! I am trying to run imageNet with caffe on multi-GPU today with 8 Titan X and CentOS. I also set --gpu=all, hoping all the 8 GPUs would run in parallel. But, it turned out that only four GPUs could work for my task. Does not caffe support 8-GPUs framework? Or I have to implement some other things in order to make it work? I attached two log file pictures below to help you to better understand my problem. Anyone's kind advice is appreciated and eagerly needed. Thanks.
"
173,3141,0,"make all errors. ubuntu 12.04 
caffe
cudnn-v2

when I run ""sudo make all -j8"" in caffe got error logs like this:


"
246,6510,0,"Makefile:591: recipe for target '.build_release/src/caffe/layers/cudnn_relu_layer.o' failed. ## Important - read before submitting

*Please read the [guidelines for contributing](https://github.com/BVLC/caffe/blob/master/CONTRIBUTING.md) before submitting this issue!*

*Please do not post installation, build, usage, or modeling questions, or other requests for help to Issues.*
Use the [caffe-users list](https://groups.google.com/forum/#!forum/caffe-users) instead.
This helps developers maintain a clear, uncluttered, and efficient view of the state of Caffe.

### Issue summary


### Steps to reproduce


### Tried solutions


### System configuration

* Operating system: ubuntu16.04
* Compiler: 
* CUDA version (if applicable): 8.0
* CUDNN version (if applicable): 7.1
* BLAS: 
* Python version (if using pycaffe): 3.6
* MATLAB version (if using matcaffe): 

### Issue checklist

- [ ] read the guidelines and removed the first paragraph
- [ ] written a short summary and detailed steps to reproduce
- [ ] explained how solutions to related problems failed (tick if found none)
- [ ] filled system configuration
- [ ] attached relevant logs/config files (tick if not applicable)

CXX .build_release/src/caffe/proto/caffe.pb.cc
CXX src/caffe/syncedmem.cpp
CXX src/caffe/common.cpp
CXX src/caffe/layers/spp_layer.cpp
CXX src/caffe/layers/cudnn_deconv_layer.cpp
CXX src/caffe/layers/cudnn_tanh_layer.cpp
CXX src/caffe/layers/cudnn_lrn_layer.cpp
CXX src/caffe/layers/cudnn_relu_layer.cpp
In file included from ./include/caffe/util/math_functions.hpp:11:0,
                 from ./include/caffe/layer.hpp:12,
                 from src/caffe/layers/spp_layer.cpp:4:
./include/caffe/util/mkl_alternate.hpp:14:19: fatal error: cblas.h: No such file or directory
compilation terminated.
In file included from ./include/caffe/util/math_functions.hpp:11:0,
                 from ./include/caffe/layer.hpp:12,
                 from ./include/caffe/layers/cudnn_deconv_layer.hpp:7,
                 from src/caffe/layers/cudnn_deconv_layer.cpp:5:
./include/caffe/util/mkl_alternate.hpp:14:19: fatal error: cblas.h: No such file or directory
compilation terminated.
Makefile:591: recipe for target '.build_release/src/caffe/layers/spp_layer.o' failed
make: *** [.build_release/src/caffe/layers/spp_layer.o] Error 1
make: *** Waiting for unfinished jobs....
Makefile:591: recipe for target '.build_release/src/caffe/layers/cudnn_deconv_layer.o' failed
make: *** [.build_release/src/caffe/layers/cudnn_deconv_layer.o] Error 1
In file included from ./include/caffe/util/math_functions.hpp:11:0,
                 from ./include/caffe/layer.hpp:12,
                 from ./include/caffe/layers/cudnn_lrn_layer.hpp:7,
                 from src/caffe/layers/cudnn_lrn_layer.cpp:4:
./include/caffe/util/mkl_alternate.hpp:14:19: fatal error: cblas.h: No such file or directory
compilation terminated.
In file included from ./include/caffe/util/math_functions.hpp:11:0,
                 from src/caffe/syncedmem.cpp:3:
./include/caffe/util/mkl_alternate.hpp:14:19: fatal error: cblas.h: No such file or directory
compilation terminated.
In file included from ./include/caffe/util/math_functions.hpp:11:0,
                 from ./include/caffe/layer.hpp:12,
                 from ./include/caffe/layers/cudnn_tanh_layer.hpp:7,
                 from src/caffe/layers/cudnn_tanh_layer.cpp:4:
./include/caffe/util/mkl_alternate.hpp:14:19: fatal error: cblas.h: No such file or directory
compilation terminated.
Makefile:591: recipe for target '.build_release/src/caffe/layers/cudnn_lrn_layer.o' failed
make: *** [.build_release/src/caffe/layers/cudnn_lrn_layer.o] Error 1
Makefile:591: recipe for target '.build_release/src/caffe/syncedmem.o' failed
make: *** [.build_release/src/caffe/syncedmem.o] Error 1
Makefile:591: recipe for target '.build_release/src/caffe/layers/cudnn_tanh_layer.o' failed
make: *** [.build_release/src/caffe/layers/cudnn_tanh_layer.o] Error 1
In file included from ./include/caffe/util/math_functions.hpp:11:0,
                 from ./include/caffe/layer.hpp:12,
                 from ./include/caffe/layers/cudnn_relu_layer.hpp:7,
                 from src/caffe/layers/cudnn_relu_layer.cpp:4:
./include/caffe/util/mkl_alternate.hpp:14:19: fatal error: cblas.h: No such file or directory
compilation terminated.
Makefile:591: recipe for target '.build_release/src/caffe/layers/cudnn_relu_layer.o' failed
make: *** [.build_release/src/caffe/layers/cudnn_relu_layer.o] Error 1"
187,3546,0,"Caffe Crashes when HDF5 data used on multi GPU system.. Sorry false issue. 
"
26,4072,1,"Fine Tunning of GoogLeNet Model. I did the fine tunning but the results are not promising. I am only getting the accuracy of 50% after 1000 iterations. My training dataset has 3k images validation has 1k images and evaluation has 1k images. I set the base_lr to 0.001 and max_itr to 10000. Is this accuracy normal or did I do something wrong? I can also share what changes I did in the files, if needed. 
"
154,1908,0,"Can I use IMAGE_DATA as input when training GoogleNet?. Hi all, I just want to train the [googleNet](https://github.com/BVLC/caffe/tree/master/models/bvlc_googlenet) and using the image data as input data type (giving the path of the training and validation txt file). I failed to train it because I encountered the following problem: the loss becomes 'nan' from the 80th iteration.



Here is the data layer



Then I turned to Leveldb, everything is OK.  



Did I make any mistakes?
"
192,2661,0,"Specify Per Layer CPU or GPU. Is there a way to specify a specific layer to run on the cpu rather than the gpu, but still let the other layers run on the gpu? I'm trying to run SoftmaxWithLossLayer on the cpu since we are getting issues with running it on the gpu. It would be a nice feature to have if it doesn't exist already.
"
243,2190,0,"python deploy prototxt problem. Hi, all:

I am trying to use the python to build a model with existing prototxt and caffemodel file. However, I found that I could not successfully build one even with the deploy file and model offered on github unless I delete all the weigth_filler and bias_filler content. 
I run my code on python command and it shows ""Segmentation fault (core dumped)""
Can anyone figure out what's wrong?
"
210,5783,0,"error while make runtest  about layerfactorytest. [----------] 8 tests from SliceLayerTest/2 (465 ms total)

[----------] Global test environment tear-down
[==========] 2101 tests from 277 test cases ran. (279573 ms total)
[  PASSED  ] 2097 tests.
[  FAILED  ] 4 tests, listed below:
[  FAILED  ] LayerFactoryTest/0.TestCreateLayer, where TypeParam = caffe::CPUDevice<float>
[  FAILED  ] LayerFactoryTest/1.TestCreateLayer, where TypeParam = caffe::CPUDevice<double>
[  FAILED  ] LayerFactoryTest/2.TestCreateLayer, where TypeParam = caffe::GPUDevice<float>
[  FAILED  ] LayerFactoryTest/3.TestCreateLayer, where TypeParam = caffe::GPUDevice<double>

 4 FAILED TESTS
Makefile:534: recipe for target 'runtest' failed
make: *** [runtest] Error 1

"
97,5944,0,"make: *** [runtest] Segmentation fault CentOS . Please have a look at this 
https://pastebin.com/vCNr36dh
make runtest fails with the following error:


Please suggest fixes."
183,1143,0,"Am I right ? when I use the cuDNN..... I am a recruit, so I am sorry to my foolish question.
When I use the cuDNN to the Caffe-master, I get the same result without cuDNN.

My PC is i7-4770k and GTX 770, CUDA 6.5
The running time on MNIST is all 150s, and the cifar10_full is 62s / 1000 Iteration.

I set "" USE_CUDNN :=1"", and copy ""cudnn.h"" to ""/usr/local/include"", copy ""libcudnn.so, libcudnn.so.6.5, libcudnn.so.6.5.18, libcudnn_static.a"" to ""/usr/local/lib"".

Am I right? 
It seems not work.
Help me, thank you!
"
30,4730,1,"Pycaffe slowing down CPU in GPU mode . I'm attempting use caffe and python to do real-time image classification. I'm using OpenCV to stream from my webcam in one process, and in a separate process, using caffe to perform image classification on the frames pulled from the webcam. Then I'm passing the result of the classification back to the main thread to caption the webcam stream.

The problem is that even though I have an NVIDIA GPU and am performing the caffe predictions on the GPU, the main thread gets slown down. Normally without doing any predictions, my webcam stream runs at 30 fps; however, with the predictions, my webcam stream gets at best 15 fps. 

I've verified that caffe is indeed using the GPU when performing the predictions, and that my GPU or GPU memory is not maxing out. I've also verified that my CPU cores are not getting maxed out at any point during the program. I'm wondering if I am doing something wrong or if there is no way to keep these 2 processes truly separate. Or if in fact this is a bug in caffe GPU mode. Any advice is appreciated. Here is my code for reference



I am pretty sure it is the caffe prediction slowing everything down, because when I comment out the prediction and pass dummy text back and forth between the processes, I get 30 fps again.



    def __init__(self, task_queue, result_queue):
        multiprocessing.Process.__init__(self)
        self.task_queue = task_queue
        self.result_queue = result_queue
        #other initialization stuff

    def run(self):
        caffe.set_mode_gpu()
        caffe.set_device(0)
        #Load caffe net -- code omitted
        while True:
            image = self.task_queue.get()
            #crop image -- code omitted
            #text = net.predict(image)
            text = ""dummy text""
            self.result_queue.put(text)

        return

import cv2
import caffe
import multiprocessing
import Queue 

tasks = multiprocessing.Queue()
results = multiprocessing.Queue()
consumer = Consumer(tasks,results)
consumer.start()

#Creating window and starting video capturer from camera
cv2.namedWindow(""preview"")
vc = cv2.VideoCapture(0)
#Try to get the first frame
if vc.isOpened():
    rval, frame = vc.read()
else:
    rval = False
frame_copy[:] = frame

while rval:
    if tasks.empty():
       tasks.put(frame_copy)
    else:
       text = tasks.get()
       #Add text to frame
       cv2.putText(frame,text)

    #Showing the frame with all the applied modifications
    cv2.imshow(""preview"", frame)

    #Getting next frame from camera
    rval, frame = vc.read()
    frame_copy[:] = frame
    #Getting keyboard input 
    key = cv2.waitKey(1)
    #exit on ESC
    if key == 27:
        break

`
"
168,3110,0,"Data accessing based on key value from Caffe::DB. Hello everyone,

I have saved some features in Caffe::DB (database type does not matter) for a number of images, and features for each image are saved with a different key. While retrieving the features from database, I am able to get the data sequentially, but I was wondering if there is a method to randomly access the data corresponding to a specific key. I looked in to the source code for Caffe::DB and Caffe::DB::Cursor, but couldn't find any method for random access of database entries. The cursor can only be placed either to the first entry of database, or to the next. Should not there be a method where one can access database entries with any key??

Thanks! 
"
106,2015,0,"In-place computation can break gradient computation. For instance, MVNLayer reads data from its top blob during the backward pass, under the assumption that this data is exactly the same as the output it created.  If it's been modified by a later layer that does in-place computation, the gradient will be computed incorrectly.

In general, caffe should not rely on the user to know under what circumstances a layer can safely be done in-place.  
"
251,2819,0,"PYTHONPATH to import caffe module. In the tutorial it is written that ""The module dir caffe/python/caffe should be installed in your PYTHONPATH for import caffe"". However, when this path is added, a number of errors appear during the IPython initialization due to the confusion with internal io.py file. It seems like the actual path should be ""caffe/python"", in this case the initialization works well, and the ""caffe"" module can be correctly found.
"
68,5867,0,"Crash in amdocl64.dll when Caffe calls clBuildProgram. I’ve compiled the OpenCL caffe branch on windows using the scripts/build_win.cmd. When running the classification example I get a crash when caffe tries to build a cl program:
e:\Work\Projects\VisualStudio\Viennacl-dev\viennacl-dev\viennacl\ocl\context.hpp:438
    if (!temp)
    {
      temp = clCreateProgramWithSource(h_.get(), 1, (const char **)&source_text, &source_size, &err);
      VIENNACL_ERR_CHECK(err);
    }
const char * options = build_options_.c_str();
->err = clBuildProgram(temp, 0, NULL, options, NULL, NULL);

Variables:
source_size	337011	unsigned __int64
source_text 	[source_text.cl.txt](https://github.com/BVLC/caffe/files/1244442/source_text.cl.txt)

Callstack:
>	classification-d.exe!viennacl::ocl::context::add_program(const std::basic_string<char,std::char_traits<char>,std::allocator<char> > & source, const std::basic_string<char,std::char_traits<char>,std::allocator<char> > & prog_name) Line 438	C++
 	classification-d.exe!caffe::RegisterKernels(viennacl::ocl::context * ctx) Line 5262	C++
 	classification-d.exe!caffe::device::SetProgram() Line 286	C++
 	classification-d.exe!caffe::device::Init() Line 67	C++
 	classification-d.exe!caffe::Caffe::SetDevices(std::vector<int,std::allocator<int> > device_ids) Line 531	C++
 	classification-d.exe!Classifier::Classifier(const std::basic_string<char,std::char_traits<char>,std::allocator<char> > & model_file, const std::basic_string<char,std::char_traits<char>,std::allocator<char> > & trained_file, const std::basic_string<char,std::char_traits<char>,std::allocator<char> > & mean_file, const std::basic_string<char,std::char_traits<char>,std::allocator<char> > & label_file) Line 72	C++
 	classification-d.exe!main(int argc, char * * argv) Line 269	C++

I am trying to run caffe on my AMD R9 270X GPU using opencl but it crashes in the C:\Windows\System32\amdocl64.dll. If I switch to using my other opencl device (Intel CPU) it compiles successfully. To be honest I’m not sure if this should be reported here or to AMD support?

My machine specs:
Windows 10 64-bit
AMD Radeon R9 200 Series with latest drivers (17.7.2)
OpenCL Version: 22.19.662.4

Reproducible:
I’ve also reproduced this issue by loading the generated cl program into the AMD APP SDK 2.9.1 HelloWorld.cpp example. 

I've made a few local modifications but I don't think these will cause any change in this behaviour:

diff --git a/scripts/build_win.cmd b/scripts/build_win.cmd
index f90306e3..49176291 100755
--- a/scripts/build_win.cmd
+++ b/scripts/build_win.cmd
@@ -68,7 +68,7 @@ if DEFINED APPVEYOR (
 ) else (
:: Change the settings here to match your setup
:: Change MSVC_VERSION to 12 to use VS 2013
-if NOT DEFINED MSVC_VERSION set MSVC_VERSION=14
+if NOT DEFINED MSVC_VERSION set MSVC_VERSION=12
:: Change to 1 to use Ninja generator (builds much faster)
if NOT DEFINED WITH_NINJA set WITH_NINJA=0
:: Change to 1 to build caffe without CUDA support
@@ -85,8 +85,8 @@ if DEFINED APPVEYOR (
:: Change to 3 if using python 3.5 (only 2.7 and 3.5 are supported)
if NOT DEFINED PYTHON_VERSION set PYTHON_VERSION=2
:: Change these options for your needs.
-if NOT DEFINED BUILD_PYTHON set BUILD_PYTHON=1
-if NOT DEFINED BUILD_PYTHON_LAYER set BUILD_PYTHON_LAYER=1
+if NOT DEFINED BUILD_PYTHON set BUILD_PYTHON=0
+if NOT DEFINED BUILD_PYTHON_LAYER set BUILD_PYTHON_LAYER=0
if NOT DEFINED BUILD_MATLAB set BUILD_MATLAB=0
:: If python is on your path leave this alone
if NOT DEFINED PYTHON_EXE set PYTHON_EXE=python

diff --git a/src/caffe/layers/libdnn_conv_layer.cpp b/src/caffe/layers/libdnn_conv_layer.cpp
index 451f1ef8..600bb6a8 100644
--- a/src/caffe/layers/libdnn_conv_layer.cpp
+++ b/src/caffe/layers/libdnn_conv_layer.cpp
@@ -63,7 +63,7 @@ void LibDNNConvolutionLayer<Dtype>::Reshape(
     config.bias_term = this->bias_term_;
     config.fast_unsafe_math = true;
     config.weights_backward = this->param_propagate_down_[0];
-config.bias_backward = this->param_propagate_down_[1];
+config.bias_backward = this->bias_term_ ? this->param_propagate_down_[1] : false;

if ((std::is_same<Dtype, float>::value

diff --git a/src/caffe/layers/libdnn_deconv_layer.cpp b/src/caffe/layers/libdnn_deconv_layer.cpp
index aacde554..0bc49ca7 100644
--- a/src/caffe/layers/libdnn_deconv_layer.cpp
+++ b/src/caffe/layers/libdnn_deconv_layer.cpp
@@ -59,7 +59,7 @@ void LibDNNDeconvolutionLayer<Dtype>::Reshape(
     config.bias_term = this->bias_term_;
     config.fast_unsafe_math = true;
     config.weights_backward = this->param_propagate_down_[0];
-config.bias_backward = this->param_propagate_down_[1];
+config.bias_backward = this->bias_term_ ? this->param_propagate_down_[1] : false;

// Atomic algorithm requirements:
// - Float & 32 bit atomics available

"
